smiles,label,set
C[C@H](C(=O)Nc1nc2ccccc2[nH]1)N1Cc2ccccc2C1=O,-2.201,known
C=Cc1ccc(CNc2nc(N[C@H](CC)CO)nc3c2ncn3C(C)C)cc1,-1.255,known
CC(=O)N1CCN(c2nc(NCc3nc4cc(Cl)c(Cl)cc4[nH]3)c3ncn(C(C)C)c3n2)CC1,-2.308,known
CC(=O)N1CCN(c2nc(NCc3nc4cc(Cl)c(Cl)cc4[nH]3)c3ncn(C)c3n2)CC1,-2.647,known
CC(=O)N1CCN(c2nc(NCc3nc4cc(Cl)c(Cl)cc4[nH]3)c3ncn(-c4cnn(C)c4)c3n2)CC1,-2.551,known
CC(C)c1nn(-c2c(Cl)cccc2Cl)c2nc(Cc3ccc(OCCO)cc3)[nH]c(=O)c12,-1.853,known
CC(C)n1cnc2c(NCc3ccc(-c4ccccn4)cc3)nc(N3CCOCC3)nc21,-2.6,known
CC(C)n1cnc2c(NCc3nc4cc(Cl)c(Cl)cc4[nH]3)nc(N3CCOCC3)nc21,-2.179,known
CC(C)S(=O)(=O)c1ccccc1Nc1nc(N[C@@H]2CCCN(C(=O)c3ccccc3)C2)ncc1Cl,-2.682,known
CC(C)S(=O)(=O)c1ccccc1Nc1nc(N[C@@H]2CCCN(C(=O)c3ccccn3)C2)ncc1Cl,-1.479,known
CC(C)S(=O)(=O)c1ccccc1Nc1nc(N[C@@H]2CCCN(C(=O)c3cccc4ccccc34)C2)ncc1Cl,-2.361,known
CC(C)S(=O)(=O)c1ccccc1Nc1nc(N[C@@H]2CCCN(C(=O)c3ccc4ccccc4c3)C2)ncc1Cl,-1.587,known
CC[C@H](CO)Nc1nc(NCc2ccc(Br)cc2)c2ncn(C(C)C)c2n1,-0.918,known
CC[C@H](CO)Nc1nc(NCc2ccc(C)cc2)c2ncn(C(C)C)c2n1,-0.978,known
CC[C@H](CO)Nc1nc(NCc2ccc(-c3ncccc3C)cc2)c2ncn(C(C)C)c2n1,-2.104,known
CC[C@H](CO)Nc1nc(NCc2ccc(-c3ncccc3F)cc2)c2ncn(C(C)C)c2n1,-2.435,known
CC[C@H](CO)Nc1nc(NCc2ccc(-c3ncccc3O)cc2)c2ncn(C(C)C)c2n1,-2.454,known
CC[C@H](CO)Nc1nc(NCc2ccc(-c3cc(=O)cc[nH]3)cc2)c2ncn(C(C)C)c2n1,-2.23,known
CC[C@H](CO)Nc1nc(NCc2ccc(-c3cc(C#N)ccn3)cc2)c2ncn(C(C)C)c2n1,-2.459,known
CC[C@H](CO)Nc1nc(NCc2ccc(-c3cc(C)ccn3)cc2)c2ncn(C(C)C)c2n1,-2.052,known
CC[C@H](CO)Nc1nc(NCc2ccc(-c3cc(F)ccn3)cc2)c2ncn(C(C)C)c2n1,-2.266,known
CC[C@H](CO)Nc1nc(NCc2ccc(-c3ccc(CC(C)C)cc3)cc2)c2ncn(C(C)C)c2n1,-2.33,known
CC[C@H](CO)Nc1nc(NCc2ccc(-c3cccc(C)n3)cc2)c2ncn(C(C)C)c2n1,-1.641,known
CC[C@H](CO)Nc1nc(NCc2ccc(-c3ccccc3)cc2)c2ncn(C(C)C)c2n1,-2.512,known
CC[C@H](CO)Nc1nc(NCc2ccc(-c3ccccn3)cc2)c2ncn(C(C)C)c2n1,-2.319,known
CC[C@H](CO)Nc1nc(NCc2ccc(-c3ccccn3)cc2)c2ncn(-c3cnn(C)c3)c2n1,-2.322,known
CC[C@H](CO)Nc1nc(NCc2ccc(-c3cccnc3)cc2)c2ncn(C(C)C)c2n1,-2.452,known
CC[C@H](CO)Nc1nc(NCc2ccc(-c3ccco3)cc2)c2ncn(C(C)C)c2n1,-2.125,known
CC[C@H](CO)Nc1nc(NCc2ccc(-c3ccncc3)cc2)c2ncn(C(C)C)c2n1,-2.418,known
CC[C@H](CO)Nc1nc(NCc2ccc(C3=CCCC3)cc2)c2ncn(C(C)C)c2n1,-2.151,known
CC[C@H](CO)Nc1nc(NCc2ccc(C3=CCCCC3)cc2)c2ncn(C(C)C)c2n1,-2.392,known
CC[C@H](CO)Nc1nc(NCc2ccc(C3=CCOCC3)cc2)c2ncn(C(C)C)c2n1,-2.333,known
CC[C@H](CO)Nc1nc(NCc2ccc(-c3cn(C)cn3)cc2)c2ncn(C(C)C)c2n1,-1.829,known
CC[C@H](CO)Nc1nc(NCc2ccc(-c3cn[nH]c3)cc2)c2ncn(C(C)C)c2n1,-2.806,known
CC[C@H](CO)Nc1nc(NCc2ccc(-c3ccoc3)cc2)c2ncn(C(C)C)c2n1,-2.386,known
CC[C@H](CO)Nc1nc(NCc2ccc(-c3cccc(F)n3)cc2)c2ncn(C(C)C)c2n1,-2.391,known
CC[C@H](CO)Nc1nc(NCc2ccc(-c3ccc(C)cn3)cc2)c2ncn(C(C)C)c2n1,-2.121,known
CC[C@H](CO)Nc1nc(NCc2ccc(-c3ccc(F)cn3)cc2)c2ncn(C(C)C)c2n1,-2.076,known
CC[C@H](CO)Nc1nc(NCc2ccc(-c3ccc(O)cn3)cc2)c2ncn(C(C)C)c2n1,-2.138,known
CC[C@H](CO)Nc1nc(NCc2ccc(C3CCCC3)cc2)c2ncn(C(C)C)c2n1,-0.876,known
CC[C@H](CO)Nc1nc(NCc2ccc(C3CCCCC3)cc2)c2ncn(C(C)C)c2n1,-1.88,known
CC[C@H](CO)Nc1nc(NCc2ccc(N3CCNCC3)cc2)c2ncn(C(C)C)c2n1,-2.405,known
CC[C@H](CO)Nc1nc(NCc2ccc(N3CCOCC3)cc2)c2ncn(C(C)C)c2n1,-1.932,known
CC[C@H](CO)Nc1nc(NCc2ccc3ccccc3c2)c2ncn(C(C)C)c2n1,-1.852,known
CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,-0.719,known
CC[C@H](CO)Nc1nc(NCc2nc3cc(Cl)c(Cl)cc3[nH]2)c2ncn(C(C)C)c2n1,-1.95,known
CC[C@H](CO)Nc1nc(NCc2nc3cc(Cl)c(Cl)cc3[nH]2)c2ncn(-c3cnn(C)c3)c2n1,-2.169,known
CC[C@H](CO)Nc1nc(NCCCc2ccccc2)c2ncn(C(C)C)c2n1,-2.124,known
CC[C@H](CO)Nc1nc(NCCCCCc2cccc3ccccc23)c2ncn(C(C)C)c2n1,-2.256,known
OCCC1CCCCN1c1cc(NCc2ccc(C3=CCOCC3)cc2)n2ncc(Br)c2n1,-2.648,known
OCCC1CCCCN1c1cc(NCc2ccc(-c3ccco3)cc2)n2ncc(Br)c2n1,-2.33,known
OCCC1CCCCN1c1cc(NCc2ccc(-c3ccccn3)cc2)n2ncc(Br)c2n1,-2.54,known
Cc1ccc(C(=O)N2CSCC2C(=O)Nc2ncc(C)s2)o1,-0.381,known
Cc1cccc(Nc2nc(CC(=O)Nc3ncc(C)s3)cs2)n1,-2.53,known
Cc1ccnc(-c2ccc(CNc3cc(N4CCCCC4CCO)nc4c(Br)cnn34)cc2)c1,-2.424,known
Cc1cnc(NC(=O)Cc2coc3cc4c(cc23)CCC4)s1,-3.369,known
Cc1cnc(NC(=O)Cc2csc(N)n2)s1,-1.375,known
Cc1cnc(NC(=O)Cc2csc(Nc3cccc(Br)n3)n2)s1,-2.563,known
Cc1cnc(NC(=O)Cc2csc(Nc3cccc(C(F)(F)F)n3)n2)s1,-1.737,known
Cc1cnc(NC(=O)Cc2csc(Nc3cccc(Cl)n3)n2)s1,-1.796,known
Cc1cnc(NC(=O)Cc2csc(Nc3cccc(CO)n3)n2)s1,-0.233,known
Cc1cnc(NC(=O)Cc2csc(Nc3cccc(F)n3)n2)s1,-1.947,known
Cc1cnc(NC(=O)Cc2csc(Nc3cccc(N)n3)n2)s1,-1.659,known
Cc1cnc(NC(=O)Cc2csc(Nc3cccc(-n4cccn4)n3)n2)s1,-1.772,known
Cc1cnc(NC(=O)Cc2csc(Nc3ccccn3)n2)s1,-2.56,known
CCc1ccc(CNc2nc(N[C@H](CC)CO)nc3c2ncn3C(C)C)cc1,-1.674,known
CCc1cccc(Nc2nc(CC(=O)Nc3ncc(C)s3)cs2)n1,-2.096,known
CCc1ccnc(-c2ccc(CNc3nc(N[C@H](CC)CO)nc4c3ncn4C(C)C)cc2)c1,-2.344,known
CCCCCCCCNc1nc(N[C@H](CC)CO)nc2c1ncn2C(C)C,-1.691,known
CCCCOc1nc(NCc2nc3cc(Cl)c(Cl)cc3[nH]2)c2ncn(CC)c2n1,-2.044,known
CCn1cnc2c(NCc3nc4cc(Cl)c(Cl)cc4[nH]3)nc(N3CCC(NC(C)=O)CC3)nc21,-2.312,known
CCn1cnc2c(NCc3nc4cc(Cl)c(Cl)cc4[nH]3)nc(N3CCN(C(=O)[C@H](C)NC(C)=O)CC3)nc21,-2.726,known
CCn1cnc2c(NCc3nc4cc(Cl)c(Cl)cc4[nH]3)nc(N3CCN(C(=O)c4ccccc4)CC3)nc21,-2.745,known
CCn1cnc2c(NCc3nc4cc(Cl)c(Cl)cc4[nH]3)nc(N3CCN(C(=O)c4ccncc4)CC3)nc21,-2.568,known
CCn1cnc2c(NCc3nc4cc(Cl)c(Cl)cc4[nH]3)nc(N3CCN(C(=O)c4cccnc4)CC3)nc21,-2.588,known
CCn1cnc2c(NCc3nc4cc(Cl)c(Cl)cc4[nH]3)nc(N3CCN(C(=O)c4ccccn4)CC3)nc21,-2.76,known
CCn1cnc2c(NCc3nc4cc(Cl)c(Cl)cc4[nH]3)nc(N3CCN(C(=O)CNC(C)=O)CC3)nc21,-2.175,known
CCn1cnc2c(NCc3nc4cc(Cl)c(Cl)cc4[nH]3)nc(N3CCN(C(C)=O)CC3)nc21,-2.233,known
CCn1cnc2c(NCc3nc4cc(Cl)c(Cl)cc4[nH]3)nc(N3CCN(c4ccccn4)CC3)nc21,-2.856,known
CCn1cnc2c(NCc3nc4cc(Cl)c(Cl)cc4[nH]3)nc(N3CCN(Cc4ccncc4)CC3)nc21,-2.217,known
CCn1cnc2c(NCc3nc4cc(Cl)c(Cl)cc4[nH]3)nc(N3CCN(S(C)(=O)=O)CC3)nc21,-2.338,known
CCn1cnc2c(NCc3nc4cc(Cl)c(Cl)cc4[nH]3)nc(N3CCn4ncnc4C3)nc21,-2.617,known
Cn1cc(-n2cnc3c(NCc4ccc(-c5ccccn5)cc4)nc(N4CCOCC4)nc32)cn1,-1.479,known
Cn1cc(-n2cnc3c(NCc4nc5cc(Cl)c(Cl)cc5[nH]4)nc(N4CCNCC4)nc32)cn1,-2.489,known
Cn1cc(-n2cnc3c(NCc4nc5cc(Cl)c(Cl)cc5[nH]4)nc(N4CCOCC4)nc32)cn1,-2.477,known
Cn1cc(-n2cnc3c(NCc4nc5cc(F)c(F)cc5[nH]4)nc(N4CCOCC4)nc32)cn1,-2.511,known
Cn1cc(-n2cnc3c(NCc4nc5ccc(F)c(F)c5[nH]4)nc(N4CCOCC4)nc32)cn1,-2.409,known
COc1cc2[nH]c(CNc3nc(N4CCOCC4)nc4c3ncn4-c3cnn(C)c3)nc2cc1Cl,-2.76,known
COc1cc2nc(CN3CC=C(c4ccccc4)CC3)[nH]c(=O)c2cc1OC,-3.184,known
COc1cc2nc(N3CC=C(c4ccc(C#N)cc4)CC3)[nH]c(=O)c2cc1OC,0.68,known
COc1cc2nc(N3CC=C(c4cccc(C#N)c4)CC3)[nH]c(=O)c2cc1OC,-1.16,known
COc1ccc(C)cc1N1C[C@H](C(=O)Nc2nc3ccccc3[nH]2)CC1=O,-0.929,known
COc1cccc(Nc2nc(CC(=O)Nc3ncc(C)s3)cs2)n1,-1.963,known
COc1cc2nc(CN3CCc4sccc4C3)[nH]c(=O)c2cc1OC,-1.341,known
NCCSc1nc(NCc2ccc(-n3cccn3)cc2)c2[nH]nc(C3CCC3)c2n1,-2.054,known
O=C(CCn1cnc2ccccc2c1=O)Nc1ccc(Br)cn1,-1.748,known
O=C(CSc1nc2ccccc2[nH]1)Nc1ccc(Cl)cn1,-2.616,known
O=C(CSc1nnc2c(n1)[nH]c1ccccc12)Nc1ccc(Cl)cn1,-2.199,known
O=C(NCc1ccc(-c2ccccn2)cc1)c1n[nH]cc1NC(=O)c1c(Cl)cccc1Cl,-2.7,known
O=C(NCc1ccc(-c2ccco2)cc1)c1n[nH]cc1NC(=O)c1c(Cl)cccc1Cl,-2.143,known
O=C(NCc1ccc(C2=CCOCC2)cc1)c1n[nH]cc1NC(=O)c1c(Cl)cccc1Cl,-2.727,known
CN(C)c1ccc(CC(=O)Nc2ncc(SCc3cccnc3)s2)cc1,-1.467,known
O=C(Cc1ccc(N2CCCC2)cc1)Nc1ncc(SCc2cccnc2)s1,-1.928,known
O=C(Cc1ccc(-c2ccccn2)cc1)Nc1ncc(SCc2cccnc2)s1,-2.415,known
O=C(Cc1ccc2ccccc2c1)Nc1ncc(SCc2cccnc2)s1,-2.024,known
O=C(Cc1ccc(N2CCOCC2)cc1)Nc1ncc(SCc2cccnc2)s1,-2.016,known
O=C(Cc1ccc(-c2ccncc2)cc1)Nc1ncc(SCc2cccnc2)s1,-2.618,known
CC[C@H](CO)Nc1nc(NCCc2ccccc2)c2ncn(C(C)C)c2n1,-0.995,known
CC[C@H](CO)Nc1nc(NCCCCc2ccccc2)c2ncn(C(C)C)c2n1,-1.975,known
CC[C@H](CO)Nc1nc(NCCCCCc2ccccc2)c2ncn(C(C)C)c2n1,-2.079,known
CC[C@H](CO)Nc1nc(NCCCCCCc2ccccc2)c2ncn(C(C)C)c2n1,-1.799,known
